decision;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;has-ring;habitat;season
p;3,42;f;d;n;f;x;c;w;4,3;3,24;b;s;n;f;l;a
p;3,5;f;d;n;f;x;c;w;4,34;2,67;b;i;n;f;d;u
p;2,93;f;d;b;f;x;c;y;4,3;2,69;b;i;n;f;d;a
p;3,32;f;d;n;f;x;c;w;4,95;2,99;b;s;n;f;d;u
p;3,81;f;d;b;f;x;c;w;4,68;3,41;b;s;n;f;d;a
p;4;f;d;n;f;x;c;w;4,56;3,04;b;s;n;f;d;a
p;2,96;f;d;b;f;x;c;y;4,31;2,73;b;s;n;f;l;u
p;3,23;f;d;n;f;x;c;w;3,91;2,86;b;s;n;f;d;u
p;2,82;f;d;b;f;x;c;w;4,28;2,77;b;i;n;f;d;a
p;3,31;f;d;b;f;x;c;y;4,46;3,05;b;s;n;f;l;u
p;4,07;f;d;n;f;x;c;w;4,6;3,24;b;i;n;f;l;u
p;2,39;f;d;b;f;x;c;w;3,56;2,57;b;s;n;f;d;a
p;3,49;f;d;n;f;x;c;y;4,91;3,14;b;s;n;f;d;u
p;3,28;f;d;n;f;x;c;y;4,66;3,36;b;i;n;f;d;u
p;3,14;f;d;b;f;x;c;w;4,62;3,24;b;i;n;f;l;a
p;3,01;f;d;n;f;x;c;w;4,85;3,04;b;s;n;f;d;a
p;3,48;f;d;b;f;x;c;y;4,71;3,44;b;s;n;f;d;u
p;3,48;f;d;b;f;x;c;w;4,44;3,24;b;i;n;f;l;a
p;3,24;f;d;b;f;x;c;y;4,91;2,87;b;i;n;f;l;a
p;3,09;f;d;b;f;x;c;w;4,13;2,74;b;s;n;f;l;u
p;2,95;f;d;n;f;x;c;y;3,83;2,3;b;i;n;f;l;a
p;4,02;f;d;n;f;x;c;w;5,05;3,34;b;i;n;f;l;a
p;3,72;f;d;b;f;x;c;w;5,09;3,14;b;s;n;f;d;u
p;3,12;f;d;n;f;x;c;y;3,81;2,94;b;i;n;f;d;u
p;3,46;f;d;b;f;x;c;w;4,37;2,85;b;s;n;f;d;a
p;3,29;f;d;b;f;x;c;y;3,77;2,73;b;i;n;f;l;u
p;3,69;f;d;b;f;x;c;w;5,29;3,54;b;i;n;f;d;u
p;3,12;f;d;n;f;x;c;y;3,93;2,69;b;s;n;f;l;u
p;3,85;f;d;b;f;x;c;y;4,33;2,68;b;s;n;f;l;u
p;3,72;f;d;n;f;x;c;w;4,87;3,61;b;s;n;f;d;u
p;3,74;f;d;b;f;x;c;w;4,64;3,15;b;i;n;f;d;a
p;2,45;f;d;b;f;x;c;y;3,65;2,45;b;s;n;f;l;a
p;2,47;f;d;b;f;x;c;y;4,14;2,6;b;s;n;f;d;a
p;3,1;f;d;b;f;x;c;y;4,92;2,64;b;s;n;f;d;u
p;3,66;f;d;b;f;x;c;y;4,4;2,74;b;s;n;f;l;u
p;2,53;f;d;n;f;x;c;y;4,75;2,88;b;s;n;f;l;u
p;3,28;f;d;n;f;x;c;w;4,87;3,19;b;i;n;f;l;a
p;3,66;f;d;b;f;x;c;w;4,23;3;b;i;n;f;l;u
p;3,27;f;d;n;f;x;c;y;4,21;3,03;b;s;n;f;l;a
p;3,62;f;d;b;f;x;c;w;5,22;3,34;b;i;n;f;l;a
p;3,18;f;d;b;f;x;c;y;4,52;2,5;b;s;n;f;l;a
p;3,67;f;d;b;f;x;c;w;4,29;2,38;b;i;n;f;d;a
p;2,58;f;d;n;f;x;c;y;3,87;2,9;b;i;n;f;l;a
p;2,82;f;d;n;f;x;c;w;3,63;2,8;b;s;n;f;d;a
p;3,51;f;d;n;f;x;c;y;4,08;3,05;b;i;n;f;l;a
p;4,07;f;d;b;f;x;c;w;4,82;3;b;i;n;f;d;u
p;4,21;f;d;b;f;x;c;w;4,85;2,95;b;i;n;f;d;a
p;4,1;f;d;b;f;x;c;w;4,99;3,34;b;s;n;f;d;a
p;3,79;f;d;b;f;x;c;y;4,54;3,28;b;i;n;f;d;a
p;3,85;f;d;n;f;x;c;w;4,76;3,23;b;s;n;f;l;a
p;4,35;f;d;b;f;x;c;w;5,18;3,52;b;s;n;f;d;u
p;3,8;f;d;n;f;x;c;w;3,76;2,93;b;i;n;f;d;u
p;3,87;f;d;n;f;x;c;w;4,85;3,35;b;i;n;f;l;a
p;3,43;f;d;b;f;x;c;w;4,58;3,32;b;i;n;f;d;u
p;3,41;f;d;n;f;x;c;y;4,82;2,97;b;i;n;f;d;u
p;3,47;f;d;n;f;x;c;w;3,98;2,87;b;s;n;f;d;u
p;3,85;f;d;n;f;x;c;y;4,64;3,32;b;i;n;f;d;a
p;3,14;f;d;n;f;x;c;w;4,31;2,62;b;s;n;f;d;u
p;3,5;f;d;b;f;x;c;w;4,11;2,74;b;i;n;f;d;a
p;3,17;f;d;n;f;x;c;y;4,19;2,82;b;s;n;f;l;u
p;3,63;f;d;b;f;x;c;y;4,25;3,07;b;i;n;f;d;u
p;4,56;f;d;b;f;x;c;w;4,39;3,36;b;i;n;f;l;u
p;3,2;f;d;n;f;x;c;y;4,71;2,78;b;i;n;f;l;a
p;2,68;f;d;n;f;x;c;y;4,34;2,62;b;s;n;f;l;u
p;3,81;f;d;n;f;x;c;w;4,53;3,06;b;s;n;f;l;u
p;3,31;f;d;n;f;x;c;y;3,88;2,77;b;i;n;f;d;a
p;4,33;f;d;n;f;x;c;w;5,36;3,73;b;i;n;f;l;u
p;3,58;f;d;b;f;x;c;w;4,72;3,05;b;s;n;f;d;u
p;3,93;f;d;n;f;x;c;y;4,75;2,99;b;s;n;f;l;u
p;3,11;f;d;b;f;x;c;y;4,72;2,9;b;i;n;f;l;u
p;3,59;f;d;b;f;x;c;w;4,94;2,73;b;i;n;f;d;u
p;3,82;f;d;b;f;x;c;y;4,56;3,31;b;i;n;f;l;a
p;4,04;f;d;b;f;x;c;y;5,3;3,08;b;s;n;f;l;u
p;4,04;f;d;n;f;x;c;y;4,42;3,05;b;i;n;f;l;u
p;4,14;f;d;b;f;x;c;w;4,84;3,48;b;s;n;f;l;a
p;3,14;f;d;b;f;x;c;y;4,97;3,35;b;s;n;f;d;a
p;3,63;f;d;b;f;x;c;y;4,37;3,09;b;i;n;f;l;a
p;3,39;f;d;n;f;x;c;y;3,72;2,51;b;i;n;f;d;a
p;3,01;f;d;b;f;x;c;w;3,62;2,68;b;i;n;f;d;u
p;3,55;f;d;n;f;x;c;w;4,39;3,17;b;s;n;f;d;u
p;2,46;f;d;b;f;x;c;y;4,31;2,49;b;s;n;f;l;a
p;3,41;f;d;n;f;x;c;y;4,46;2,63;b;s;n;f;d;a
p;3,4;f;d;b;f;x;c;y;3,43;2,32;b;i;n;f;l;u
p;3,69;f;d;n;f;x;c;y;5,26;2,91;b;s;n;f;d;u
p;4,03;f;d;n;f;x;c;w;4,95;3,36;b;i;n;f;l;u
p;3,88;f;d;n;f;x;c;w;4,5;3,2;b;i;n;f;l;a
p;2,88;f;d;n;f;x;c;y;4,79;2,71;b;i;n;f;l;u
p;3,77;f;d;b;f;x;c;y;4,4;3,15;b;i;n;f;d;a
p;3,57;f;d;n;f;x;c;w;4,93;3,22;b;i;n;f;d;a
p;4,47;f;d;b;f;x;c;w;5,1;3,55;b;s;n;f;l;a
p;3,46;f;d;n;f;x;c;w;4,27;2,93;b;s;n;f;d;a
p;3,11;f;d;n;f;x;c;w;3,97;2,89;b;s;n;f;l;u
p;4,05;f;d;n;f;x;c;w;5,15;3,5;b;i;n;f;d;u
p;4,08;f;d;b;f;x;c;w;4,94;2,93;b;i;n;f;d;a
p;4,11;f;d;b;f;x;c;w;4,63;3,51;b;s;n;f;d;u
p;2,97;f;d;n;f;x;c;w;3,74;2,79;b;i;n;f;l;u
p;3,21;f;d;n;f;x;c;w;4,93;3,11;b;s;n;f;d;a
p;2,93;f;d;b;f;x;c;w;4,76;3,24;b;s;n;f;l;a
p;3,38;f;d;b;f;x;c;y;4,94;3,43;b;s;n;f;l;u
p;3,44;f;d;b;f;x;c;w;4,87;3,31;b;i;n;f;l;u
p;3,53;f;d;n;f;x;c;w;5;3,26;b;i;n;f;d;a
p;3,12;f;d;n;f;x;c;w;3,86;2,85;b;i;n;f;l;u
p;3,32;f;d;n;f;x;c;w;4,62;2,82;b;s;n;f;d;a
p;2,87;f;d;n;f;x;c;w;4,23;2,98;b;s;n;f;d;a
p;4,15;f;d;n;f;x;c;w;5,07;3,79;b;s;n;f;l;a
p;2,74;f;d;b;f;x;c;w;4,21;2,85;b;i;n;f;l;u
p;2,35;f;d;n;f;x;c;y;3,54;2,52;b;s;n;f;d;a
p;3,42;f;d;n;f;x;c;y;5,12;2,91;b;s;n;f;l;u
